id,platform_product_id,old_discount,new_discount,changed_at
1,big,wrong,dog,push
2,painting,term,task,level
3,west,remain,have,behind
4,determine,turn,down,action
5,director,there,lay,figure
6,prepare,black,way,action
7,already,get,organization,course
8,rise,choose,your,direction
9,defense,hotel,Democrat,garden
10,our,suggest,concern,head
11,Mrs,can,different,up
12,approach,charge,cold,coach
13,thing,keep,add,cause
14,act,house,she,road
15,leg,without,again,movie
16,discussion,security,increase,strategy
17,hit,water,figure,record
18,understand,half,over,sound
19,bag,popular,large,blue
20,late,everything,develop,factor
21,visit,bar,item,hard
22,how,road,treat,anyone
23,call,career,next,across
24,center,go,carry,cell
25,treat,drug,win,control
26,all,collection,institution,final
27,say,language,last,center
28,yard,main,art,kitchen
29,defense,administration,minute,organization
30,production,old,concern,sport
31,carry,author,already,several
32,civil,baby,far,learn
33,boy,unit,keep,live
34,friend,enjoy,effort,myself
35,even,goal,hard,full
36,all,action,school,point
37,commercial,water,result,level
38,team,chair,science,sure
39,throw,chance,international,thank
40,fall,region,military,stop
41,skin,think,president,indeed
42,foot,break,your,line
43,rich,manager,air,receive
44,power,no,conference,much
45,court,until,development,agree
46,number,be,their,mouth
47,despite,wish,successful,theory
48,glass,season,machine,exactly
49,stuff,return,approach,world
50,together,grow,call,bank
51,end,walk,almost,reason
52,wide,mean,Republican,relate
53,somebody,reflect,responsibility,country
54,term,science,start,threat
55,chair,girl,young,particularly
56,adult,our,good,over
57,politics,mind,including,work
58,entire,vote,interest,pick
59,population,feeling,part,price
60,politics,step,central,goal
61,by,customer,election,never
62,by,article,soldier,short
63,skin,yes,employee,argue
64,west,wall,four,cold
65,picture,name,role,management
66,billion,wonder,green,treat
67,without,relate,under,middle
68,language,room,evening,hear
69,money,from,among,evidence
70,peace,stock,feel,news
71,team,yes,Democrat,decide
72,ago,during,director,can
73,thing,inside,interest,history
74,themselves,thousand,newspaper,specific
75,shake,worker,rise,sound
76,system,address,law,seat
77,machine,read,professor,kitchen
78,apply,among,event,size
79,occur,after,serve,appear
80,recent,floor,would,use
81,political,on,either,own
82,focus,still,interesting,benefit
83,he,important,large,voice
84,world,like,suddenly,help
85,book,present,how,film
86,cost,relationship,history,cultural
87,civil,mention,game,for
88,those,end,story,drive
89,feel,from,again,pay
90,role,author,special,significant
91,something,nearly,energy,opportunity
92,far,technology,article,project
93,company,before,name,key
94,several,or,drop,likely
95,music,my,Democrat,rule
96,quite,rule,get,red
97,term,hot,administration,off
98,both,against,conference,accept
99,left,music,itself,investment
100,particularly,issue,list,consider
101,by,form,story,response
102,its,here,nearly,the
103,you,all,career,we
104,tough,statement,nation,probably
105,important,entire,goal,near
106,large,study,almost,theory
107,up,brother,wonder,myself
108,have,increase,day,general
109,side,win,would,soon
110,nice,still,real,bank
111,save,care,teach,left
112,its,sometimes,company,perform
113,blue,much,adult,player
114,our,customer,word,cost
115,family,everyone,human,build
116,white,despite,hold,woman
117,after,follow,among,enter
118,close,poor,floor,threat
119,present,year,focus,sister
120,consider,bag,few,he
121,for,artist,a,land
122,rest,paper,per,value
123,cold,I,difference,catch
124,hospital,effect,as,community
125,machine,media,east,administration
126,war,president,road,carry
127,treat,front,it,drive
128,treatment,quickly,medical,foot
129,American,factor,cause,purpose
130,outside,nearly,laugh,accept
131,attorney,worry,growth,per
132,table,too,financial,American
133,mission,about,federal,figure
134,stock,PM,nothing,star
135,fly,perhaps,leave,hope
136,place,else,pattern,apply
137,course,capital,indicate,foot
138,staff,decide,box,you
139,miss,activity,then,low
140,represent,either,station,strategy
141,president,together,season,everyone
142,red,community,whether,drop
143,return,hold,radio,thousand
144,movie,hospital,machine,market
145,author,believe,either,recently
146,available,crime,western,once
147,college,hope,left,state
148,less,international,book,think
149,important,newspaper,short,investment
150,energy,report,loss,recently
151,tough,similar,popular,drug
152,market,newspaper,huge,our
153,over,fall,collection,understand
154,give,eight,physical,seem
155,meeting,he,cold,real
156,economy,police,half,catch
157,water,account,agency,goal
158,indicate,specific,himself,produce
159,ever,policy,three,wide
160,election,suddenly,where,throughout
161,young,executive,hope,opportunity
162,rich,throughout,actually,table
163,far,language,who,weight
164,imagine,discover,away,material
165,four,debate,oil,majority
166,material,group,bring,shoulder
167,officer,produce,mouth,particularly
168,law,contain,campaign,piece
169,mission,force,while,act
170,color,operation,player,marriage
171,low,push,agreement,stock
172,pretty,any,offer,west
173,really,nation,rate,together
174,old,member,prepare,these
175,prepare,despite,mouth,you
176,buy,able,movement,just
177,agent,billion,difficult,break
178,media,Democrat,require,middle
179,expert,goal,rise,each
180,contain,tough,matter,easy
181,north,role,decade,town
182,high,color,trial,amount
183,black,second,home,condition
184,happen,again,generation,stay
185,event,if,do,page
186,enough,discover,then,everyone
187,role,today,add,number
188,memory,financial,note,science
189,him,arm,tree,baby
190,group,half,service,necessary
191,small,east,citizen,campaign
192,than,ask,capital,attack
193,seem,assume,owner,media
194,after,interesting,put,child
195,support,positive,begin,politics
196,have,American,too,whole
197,office,send,window,issue
198,have,help,sort,cup
199,election,executive,check,key
200,push,baby,director,outside
